Title,Date,Rating,Review
Perfect evening,2023-11-29,5,Fettuccine alfredo was terrible.
Overpriced,2022-05-02,0,Disappointing fettuccine alfredo.
Perfect evening,2022-08-16,4,Fantastic gnocchi!
Excellent!,2024-03-21,4,Authentic lasagna.
Perfect evening,2022-11-19,5,Risotto was terrible.
Great for families,2023-10-12,1,Disappointing calamari fritti.
Big portions,2024-01-01,1,Disappointing prosciutto e melone.
Terrible service,2023-09-21,5,"Authentic calamari fritti. The rude response to a simple request. ambient lighting created a unique vibe. I felt that small portions. The decor creates a cozy, rustic atmosphere that feels authentic."
Terrible service,2025-03-08,0,Disappointing fettuccine alfredo.
Big portions,2023-03-29,5,Fantastic panna cotta!
Perfect evening,2023-11-10,5,Loved the lasagna.
Overpriced,2022-12-10,5,Lasagna was terrible.
Not authentic,2023-11-19,3,"Authentic spaghetti carbonara. The rude response to a simple request. cozy seating created a unique vibe. I felt that great value. The pasta was cooked al dente, exactly how it should be."
Great food,2022-01-03,0,Okay risotto.
Not worth the hype,2024-04-27,3,Authentic risotto.
Great food,2024-09-08,4,Prosciutto e melone was terrible.
Not worth the hype,2024-07-13,0,"Authentic spaghetti carbonara. The welcoming host. cozy seating created a unique vibe. I felt that fair prices. Music was a bit loud for my taste, but the food made up for it."
Not worth the hype,2024-02-08,1,Fantastic calamari fritti!
Wouldn't recommend,2023-11-24,4,Okay panna cotta.
Super cozy place,2022-12-04,4,Loved the risotto. The bartender nailed the cocktails. open kitchen vibe created a unique vibe. I felt that a bit pricey. They accommodated my gluten-free request without any issues.
Ruined our night,2025-02-08,5,"Disappointing calamari fritti. The welcoming host. beautiful decor created a unique vibe. I felt that a bit pricey. Portion sizes were generous, and everything was beautifully plated."
Disappointing visit,2024-03-15,4,Tiramisu was terrible.
Disappointing visit,2024-01-09,0,"Fantastic risotto! The orders came out late. tight seating created a unique vibe. I felt that good portion sizes. The dessert selection is limited, but the tiramisu was heavenly."
Loved it,2022-07-18,0,Loved the bruschetta.
Wouldn't recommend,2024-08-27,0,Margherita pizza was terrible.
Great for families,2023-06-27,0,Disappointing prosciutto e melone.
