Title,Date,Rating,Review
Great vibes,2025-04-27,5,The seafood platter was fresh and well-prepared. Drinks menu is extensive and well-curated. It took forever to get our food.
Terrible night,2024-08-08,2,It took forever to get our food. The seafood platter was fresh and well-prepared.
Friendly staff,2022-01-02,5,"Disappointing dessert selection, very limited options."
Overpriced,2025-04-08,4,"Disappointing dessert selection, very limited options. The hostess was very welcoming."
Disappointing,2022-03-19,2,"Service was quick and efficient. Disappointing dessert selection, very limited options. The restaurant was noisy and crowded, not ideal for a date."
Average at best,2024-06-20,3,They messed up our order twice. Parking is limited so arrive early. The gnocchi was soft and melted in the mouth.
Amazing experience,2025-07-06,1,The gnocchi was soft and melted in the mouth. The seating was cramped and uncomfortable.
Could be better,2024-07-09,1,The steak was juicy and cooked to perfection. The music was too loud for a comfortable conversation.
Romantic dinner,2023-11-19,5,"Loved the lighting and decor, very Instagram-worthy. The pasta was cooked perfectly and the sauce was rich and flavorful."
Friendly staff,2025-04-22,4,The seafood platter was fresh and well-prepared.
Exceptional!,2024-11-26,2,Not suitable for large groups. The hostess was very welcoming. The seating was cramped and uncomfortable. The lasagna was full of flavor and cheesy goodness.
Not worth it,2025-07-01,2,The staff was friendly and attentive. The lasagna was full of flavor and cheesy goodness.
Friendly staff,2025-04-11,1,The steak was juicy and cooked to perfection.
Loved it!,2022-07-12,4,"The place had a warm and inviting atmosphere. Perfect for a romantic dinner. The waiter seemed disinterested and forgot our order. Fettuccine alfredo was terrible, very bland and watery."
Romantic dinner,2023-10-05,2,The place had a warm and inviting atmosphere. The steak was juicy and cooked to perfection.
Could be better,2023-07-31,1,The seating was cramped and uncomfortable. Parking is limited so arrive early. The pizza tasted authentic and had a great crust.
Average at best,2023-09-11,3,The staff was friendly and attentive. The steak was juicy and cooked to perfection.
Romantic dinner,2025-03-06,3,"The waiter seemed disinterested and forgot our order. The music was too loud for a comfortable conversation. The restaurant is pet-friendly, loved bringing my dog! The steak was juicy and cooked to perfection."
Loved it!,2025-01-20,0,"The gnocchi was soft and melted in the mouth. It took forever to get our food. The ambiance was cozy and romantic. The restaurant is pet-friendly, loved bringing my dog!"
Exceptional!,2023-03-14,5,"Disappointing dessert selection, very limited options. The restaurant is pet-friendly, loved bringing my dog!"
Perfect evening,2021-08-15,3,The seafood platter was fresh and well-prepared. The waiter seemed disinterested and forgot our order. The place had a warm and inviting atmosphere.
Romantic dinner,2025-03-25,3,"Wait times can be long during weekends. The restaurant was noisy and crowded, not ideal for a date. The hostess was very welcoming. The lasagna was full of flavor and cheesy goodness."
Excellent!,2021-08-23,3,Portions were huge and worth the price. The pasta was cooked perfectly and the sauce was rich and flavorful. The hostess was very welcoming. The music was too loud for a comfortable conversation.
Romantic dinner,2023-03-02,3,The staff was friendly and attentive. The gnocchi was soft and melted in the mouth.
Perfect evening,2025-04-22,2,"Wait times can be long during weekends. Loved the lighting and decor, very Instagram-worthy. The pizza tasted authentic and had a great crust."
Great vibes,2023-05-21,2,The pasta was cooked perfectly and the sauce was rich and flavorful. The music was too loud for a comfortable conversation. It took forever to get our food.
Loved it!,2022-05-21,5,"Disappointing dessert selection, very limited options. The hostess was very welcoming. Loved the lighting and decor, very Instagram-worthy."
Terrible night,2024-10-18,2,"Fettuccine alfredo was terrible, very bland and watery."
Loved it!,2022-12-09,3,"The seafood platter was fresh and well-prepared. Loved the lighting and decor, very Instagram-worthy."
Friendly staff,2022-09-14,2,The steak was juicy and cooked to perfection. Service was quick and efficient.
Terrible night,2021-10-01,3,They messed up our order twice. The gnocchi was soft and melted in the mouth.
Friendly staff,2022-03-01,4,The lasagna was full of flavor and cheesy goodness.
Amazing experience,2022-03-11,0,Great place for families with kids. They messed up our order twice. The steak was juicy and cooked to perfection.
Perfect evening,2024-08-28,3,Service was quick and efficient. The seafood platter was fresh and well-prepared.
Perfect evening,2022-10-31,5,The gnocchi was soft and melted in the mouth.
Could be better,2025-04-14,0,"The lasagna was full of flavor and cheesy goodness. The restaurant is pet-friendly, loved bringing my dog!"
Exceptional!,2023-12-18,3,They messed up our order twice. The lasagna was full of flavor and cheesy goodness.
Disappointing,2024-09-05,4,The place had a warm and inviting atmosphere. Parking is limited so arrive early. The lasagna was full of flavor and cheesy goodness. The staff was friendly and attentive.
Loved it!,2025-06-13,0,"The restaurant was noisy and crowded, not ideal for a date. The steak was juicy and cooked to perfection. The restaurant is pet-friendly, loved bringing my dog!"
Exceptional!,2025-07-13,3,"Not suitable for large groups. Disappointing dessert selection, very limited options. It took forever to get our food. The restaurant was noisy and crowded, not ideal for a date."
Exceptional!,2023-04-11,4,The lasagna was full of flavor and cheesy goodness. The music was too loud for a comfortable conversation. Service was quick and efficient. They have gluten-free and vegan options.
Perfect evening,2023-01-01,0,The pasta was cooked perfectly and the sauce was rich and flavorful.
Romantic dinner,2021-11-28,5,Portions were huge and worth the price. The lasagna was full of flavor and cheesy goodness.
Great vibes,2021-12-03,2,"The steak was juicy and cooked to perfection. The restaurant was noisy and crowded, not ideal for a date."
Amazing experience,2024-04-13,1,"They messed up our order twice. The seafood platter was fresh and well-prepared. The restaurant is pet-friendly, loved bringing my dog!"
Average at best,2022-09-30,4,"Disappointing dessert selection, very limited options. They messed up our order twice. Not suitable for large groups. The ambiance was cozy and romantic."
Excellent!,2023-03-06,3,They have gluten-free and vegan options. The music was too loud for a comfortable conversation. The seafood platter was fresh and well-prepared.
Loved it!,2022-06-16,2,Great place for families with kids. The staff was friendly and attentive. The pizza tasted authentic and had a great crust.
Exceptional!,2022-08-11,4,"Disappointing dessert selection, very limited options. The restaurant is pet-friendly, loved bringing my dog! The restaurant was noisy and crowded, not ideal for a date. Service was quick and efficient."
Romantic dinner,2024-10-23,3,Portions were huge and worth the price. The staff was friendly and attentive. The seafood platter was fresh and well-prepared.
Perfect evening,2023-04-18,1,The pizza tasted authentic and had a great crust.
Overpriced,2022-04-15,5,"Fettuccine alfredo was terrible, very bland and watery."
Exceptional!,2023-12-12,1,The waiter seemed disinterested and forgot our order. The seafood platter was fresh and well-prepared. The place had a warm and inviting atmosphere. Portions were huge and worth the price.
Overpriced,2024-08-13,4,The steak was juicy and cooked to perfection. They messed up our order twice.
Excellent!,2023-12-12,4,"Loved the lighting and decor, very Instagram-worthy. Fettuccine alfredo was terrible, very bland and watery. Drinks menu is extensive and well-curated. Service was quick and efficient."
Average at best,2022-01-21,4,"Fettuccine alfredo was terrible, very bland and watery. The place had a warm and inviting atmosphere."
Family-friendly,2024-11-25,4,"The hostess was very welcoming. Fettuccine alfredo was terrible, very bland and watery."
Terrible night,2021-12-23,5,The pizza tasted authentic and had a great crust. Drinks menu is extensive and well-curated.
Could be better,2022-01-26,3,"The hostess was very welcoming. Disappointing dessert selection, very limited options. The ambiance was cozy and romantic."
Average at best,2021-12-01,3,The gnocchi was soft and melted in the mouth.
Family-friendly,2022-09-08,0,They have gluten-free and vegan options. The hostess was very welcoming. The pasta was cooked perfectly and the sauce was rich and flavorful.
Friendly staff,2022-11-15,3,"Loved the lighting and decor, very Instagram-worthy. The gnocchi was soft and melted in the mouth. Drinks menu is extensive and well-curated."
Average at best,2022-12-17,3,"Wait times can be long during weekends. Fettuccine alfredo was terrible, very bland and watery."
Family-friendly,2025-05-08,0,"The restaurant is pet-friendly, loved bringing my dog! The seafood platter was fresh and well-prepared."
Friendly staff,2022-06-29,1,"The steak was juicy and cooked to perfection. Loved the lighting and decor, very Instagram-worthy."
Great vibes,2025-01-16,4,The pizza tasted authentic and had a great crust. It took forever to get our food.
Friendly staff,2025-05-30,4,"The restaurant is pet-friendly, loved bringing my dog! They messed up our order twice. The seafood platter was fresh and well-prepared."
Perfect evening,2024-11-12,0,The ambiance was cozy and romantic. The seafood platter was fresh and well-prepared. The waiter seemed disinterested and forgot our order. Portions were huge and worth the price.
Loved it!,2024-01-29,1,The pasta was cooked perfectly and the sauce was rich and flavorful. They messed up our order twice.
Overpriced,2025-07-22,2,The music was too loud for a comfortable conversation. The pasta was cooked perfectly and the sauce was rich and flavorful.
